,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,"robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3",robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,"6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","C3570","C3570","C3570","C3730","C3730","C3730","C3810","C3810","C3810"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
35,0.350000,2.200530,0.820192,0.499575,-0.578786,0.097376,0.478540,0.000432,-0.481918,0.098493,0.452024,0.905972,-0.626354,0.096734,0.531452,0.953866,-0.628086,0.096903,0.452143,0.933014,-0.481553,0.098497,0.451935,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
36,0.360000,2.177086,0.790343,0.510698,-0.578748,0.097401,0.478586,0.000382,-0.481869,0.098525,0.452110,0.918757,-0.626338,0.096775,0.531479,0.966713,-0.628037,0.096903,0.452170,0.927414,-0.481547,0.098528,0.452068,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
37,0.370000,2.210433,0.832478,0.520305,-0.578808,0.097446,0.478542,0.000396,-0.481945,0.098603,0.452011,0.911191,-0.626368,0.096775,0.531462,0.974006,-0.628113,0.096961,0.452154,0.918011,-0.481591,0.098607,0.451985,-0.626411,0.096775,0.531368,-0.628416,0.096957,0.452278
38,0.380000,2.161478,0.751694,0.560664,-0.578818,0.097368,0.478564,0.000345,-0.481933,0.098561,0.452115,0.911191,-0.626422,0.096733,0.531443,0.974006,-0.628099,0.096809,0.452134,0.918011,-0.481638,0.098565,0.452063,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
39,0.390000,2.191492,0.752169,0.506939,-0.578806,0.097322,0.478527,0.000388,-0.481934,0.098424,0.452026,0.925227,-0.626382,0.096734,0.531432,0.968769,-0.628101,0.096808,0.452124,0.939588,-0.481596,0.098428,0.451952,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
40,0.400000,2.198053,0.789972,0.520095,-0.578744,0.097409,0.478562,0.000403,-0.481875,0.098549,0.452051,0.913696,-0.626314,0.096776,0.531472,0.962331,-0.628042,0.096903,0.452164,0.938581,-0.481531,0.098553,0.451995,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
41,0.410000,2.342856,0.747890,0.650036,-0.578793,0.097444,0.478362,0.000507,-0.481993,0.098789,0.451608,0.912934,-0.626230,0.096736,0.531391,0.964306,-0.628156,0.096808,0.452087,0.927676,-0.481543,0.098795,0.451445,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
42,0.420000,2.218149,0.790067,0.498531,-0.578751,0.097391,0.478542,0.000399,-0.481891,0.098493,0.451997,0.880216,-0.626303,0.096776,0.531469,0.928642,-0.628059,0.096903,0.452161,0.941741,-0.481553,0.098497,0.451935,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
43,0.430000,2.179251,0.721660,0.559585,-0.578783,0.097382,0.478567,0.000313,-0.481906,0.098562,0.452087,0.913987,-0.626371,0.096775,0.531461,0.962871,-0.628072,0.096809,0.452152,0.930768,-0.481638,0.098565,0.452063,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
44,0.440000,2.198626,0.721470,0.556640,-0.578780,0.097379,0.478545,0.000330,-0.481912,0.098554,0.452032,0.928441,-0.626350,0.096775,0.531456,0.973243,-0.628079,0.096809,0.452147,0.937009,-0.481628,0.098558,0.451997,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
45,0.450000,2.217178,0.790178,0.491832,-0.578754,0.097385,0.478544,0.000393,-0.481893,0.098476,0.452000,0.915755,-0.626307,0.096776,0.531470,0.963340,-0.628062,0.096903,0.452162,0.931381,-0.481562,0.098480,0.451940,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
46,0.460000,2.194642,0.721587,0.551818,-0.578806,0.097375,0.478556,0.000273,-0.481936,0.098542,0.452050,0.943183,-0.626380,0.096775,0.531464,0.974705,-0.628102,0.096808,0.452155,0.943194,-0.481709,0.098544,0.452032,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
47,0.470000,2.128092,0.752416,0.538522,-0.578764,0.097350,0.478585,0.000443,-0.481863,0.098506,0.452191,0.899315,-0.626399,0.096734,0.531437,0.965234,-0.628030,0.096809,0.452126,0.923852,-0.481465,0.098510,0.452125,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
48,0.480000,2.191492,0.752169,0.506939,-0.578806,0.097322,0.478527,0.000388,-0.481934,0.098424,0.452026,0.913696,-0.626382,0.096734,0.531432,0.962331,-0.628101,0.096808,0.452124,0.938581,-0.481596,0.098428,0.451952,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
49,0.490000,2.220831,0.820071,0.493360,-0.578786,0.097371,0.478518,0.000444,-0.481927,0.098477,0.451968,0.902503,-0.626335,0.096734,0.531447,0.950291,-0.628095,0.096902,0.452139,0.933910,-0.481550,0.098481,0.451867,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
50,0.500000,2.184616,0.863216,0.481702,-0.578836,0.097399,0.478545,0.000441,-0.481960,0.098502,0.452057,0.900140,-0.626419,0.096733,0.531444,0.968044,-0.628129,0.096961,0.452135,0.919741,-0.481565,0.098506,0.452002,-0.626513,0.096732,0.531357,-0.628416,0.096957,0.452278
51,0.510000,2.217102,0.721720,0.524620,-0.578794,0.097352,0.478528,0.000311,-0.481934,0.098472,0.451983,0.900140,-0.626347,0.096775,0.531455,0.968044,-0.628101,0.096808,0.452147,0.919741,-0.481670,0.098475,0.451947,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
52,0.520000,2.193368,0.751730,0.533772,-0.578792,0.097345,0.478522,0.000419,-0.481921,0.098493,0.452018,0.933304,-0.626367,0.096734,0.531428,0.972924,-0.628089,0.096809,0.452119,0.941802,-0.481553,0.098497,0.451935,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
53,0.530000,2.339359,0.787897,0.548235,-0.578746,0.097433,0.478411,0.000482,-0.481943,0.098620,0.451661,0.905512,-0.626186,0.096777,0.531438,0.959485,-0.628109,0.096902,0.452134,0.935370,-0.481526,0.098625,0.451532,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
54,0.540000,2.180849,0.751507,0.557716,-0.578815,0.097365,0.478542,0.000362,-0.481939,0.098554,0.452060,0.890878,-0.626402,0.096734,0.531438,0.940965,-0.628105,0.096809,0.452129,0.935261,-0.481628,0.098558,0.451997,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
55,0.550000,2.352750,0.829523,0.606925,-0.578792,0.097521,0.478384,0.000521,-0.481996,0.098824,0.451614,0.920702,-0.626220,0.096777,0.531421,0.965688,-0.628160,0.096961,0.452117,0.940112,-0.481518,0.098831,0.451500,-0.626411,0.096775,0.531368,-0.628416,0.096957,0.452278
56,0.560000,2.198626,0.721470,0.556640,-0.578780,0.097379,0.478545,0.000330,-0.481912,0.098554,0.452032,0.877082,-0.626350,0.096775,0.531456,0.950263,-0.628078,0.096809,0.452147,0.924396,-0.481628,0.098558,0.451997,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
57,0.570000,2.200530,0.820192,0.499575,-0.578786,0.097376,0.478540,0.000432,-0.481918,0.098493,0.452024,0.905972,-0.626354,0.096734,0.531452,0.953866,-0.628086,0.096903,0.452143,0.933014,-0.481553,0.098497,0.451935,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
58,0.580000,2.341794,0.747855,0.652796,-0.578790,0.097447,0.478362,0.000513,-0.481990,0.098796,0.451610,0.878649,-0.626228,0.096736,0.531390,0.928227,-0.628153,0.096808,0.452086,0.941147,-0.481533,0.098803,0.451446,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
59,0.590000,2.196903,0.862693,0.509450,-0.578885,0.097422,0.478546,0.000343,-0.482015,0.098572,0.452038,0.926096,-0.626456,0.096733,0.531454,0.971964,-0.628183,0.096960,0.452146,0.932950,-0.481721,0.098575,0.452005,-0.626513,0.096732,0.531357,-0.628416,0.096957,0.452278
60,0.600000,2.191673,0.721844,0.536222,-0.578760,0.097362,0.478547,0.000368,-0.481889,0.098502,0.452045,0.918279,-0.626337,0.096776,0.531452,0.971859,-0.628056,0.096809,0.452143,0.931514,-0.481565,0.098506,0.452002,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
61,0.610000,2.186159,0.790030,0.525416,-0.578777,0.097413,0.478585,0.000326,-0.481903,0.098562,0.452093,0.933406,-0.626359,0.096775,0.531485,0.967926,-0.628070,0.096903,0.452176,0.935063,-0.481638,0.098565,0.452063,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
62,0.620000,2.184616,0.863216,0.481702,-0.578836,0.097399,0.478545,0.000441,-0.481960,0.098502,0.452057,0.900140,-0.626419,0.096733,0.531444,0.968044,-0.628129,0.096961,0.452135,0.919741,-0.481565,0.098506,0.452002,-0.626513,0.096732,0.531357,-0.628416,0.096957,0.452278
63,0.630000,2.183004,0.722164,0.520706,-0.578731,0.097349,0.478548,0.000427,-0.481855,0.098463,0.452061,0.900140,-0.626315,0.096776,0.531446,0.968044,-0.628022,0.096809,0.452137,0.919741,-0.481470,0.098467,0.452005,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
