,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,"robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4",robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker4,robot-omni3:Marker4,robot-omni3:Marker4
,ID,"11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","C3530","C3530","C3530","C4C00","C4C00","C4C00","C45C0","C45C0","C45C0","C3560","C3560","C3560"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
39,0.390000,,,,,,,,,,,,,,,,,,,,,,,,0.247005,0.801782,-0.207110,,,,,,,0.163951,0.800267,-0.065902
40,0.400000,-62.857609,-0.307019,0.508179,0.149282,0.801116,-0.158313,0.001039,0.247280,0.801723,-0.207260,0.897882,0.102540,0.801415,-0.153159,0.762509,0.083030,0.801132,-0.207487,0.000000,0.164278,0.800195,-0.065344,0.851693,0.246945,0.801722,-0.207132,0.103368,0.801407,-0.152685,,,,0.163875,0.800203,-0.065928
41,0.410000,,,,,,,,,,,,,,,,,,,,,,,,0.247052,0.801747,-0.207094,,,,,,,0.163913,0.800262,-0.065878
42,0.420000,,,,,,,,,,,,,,,,,,,,,,,,0.247052,0.801747,-0.207094,,,,,,,0.163919,0.800261,-0.065883
43,0.430000,,,,,,,,,,,,,,,,,,,,,,,,0.247052,0.801747,-0.207094,,,,,,,0.163858,0.800242,-0.065835
44,0.440000,-62.836292,-0.176357,0.614553,0.149338,0.801075,-0.158513,0.000818,0.247315,0.801933,-0.207498,0.928644,0.102598,0.801242,-0.153343,0.749888,0.083068,0.800870,-0.207663,0.000000,0.164372,0.800253,-0.065550,0.854882,0.247035,0.801934,-0.207553,0.103505,0.801238,-0.152920,,,,0.163881,0.800256,-0.065860
45,0.450000,-62.790886,-0.253599,0.534178,0.149326,0.801165,-0.158418,0.000772,0.247266,0.801874,-0.207480,0.954819,0.102590,0.801415,-0.153211,0.765285,0.083016,0.801113,-0.207516,0.000000,0.164431,0.800257,-0.065467,0.834675,0.247095,0.801875,-0.207541,0.103368,0.801407,-0.152685,,,,0.163913,0.800262,-0.065878
46,0.460000,,,,,,,,,,,,,,,,,,,,,,,,0.246998,0.801851,-0.207081,,,,,,,0.163951,0.800267,-0.065902
47,0.470000,-62.848019,-0.275035,0.523768,0.149300,0.801158,-0.158331,0.000886,0.247290,0.801827,-0.207295,0.930523,0.102560,0.801428,-0.153170,0.789408,0.083040,0.801134,-0.207494,0.000000,0.164313,0.800245,-0.065365,0.839972,0.247025,0.801826,-0.207211,0.103276,0.801422,-0.152727,,,,0.163927,0.800252,-0.065876
48,0.480000,-62.880199,-0.305475,0.533387,0.149316,0.801138,-0.158302,0.000922,0.247333,0.801748,-0.207211,0.923886,0.102572,0.801428,-0.153168,0.792384,0.083083,0.801120,-0.207503,0.000000,0.164275,0.800255,-0.065328,0.835152,0.247052,0.801747,-0.207094,0.103276,0.801422,-0.152727,,,,0.163913,0.800262,-0.065878
49,0.490000,-62.835506,-0.183461,0.631142,0.149326,0.801088,-0.158544,0.000801,0.247302,0.801934,-0.207530,0.932970,0.102586,0.801256,-0.153372,0.769154,0.083055,0.800867,-0.207692,0.000000,0.164361,0.800296,-0.065580,0.858268,0.247035,0.801934,-0.207553,0.103413,0.801252,-0.152962,,,,0.163909,0.800300,-0.065923
50,0.500000,,,,,,,,,,,,,,,,,,,,,,,,0.247005,0.801782,-0.207110,,,,,,,0.163870,0.800294,-0.065898
51,0.510000,,,,,,,,,,,,,,,,,,,,,,,,0.247052,0.801747,-0.207094,,,,,,,0.163951,0.800267,-0.065902
