,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-tricyc,robot-tricyc,robot-tricyc,robot-tricyc,robot-tricyc,robot-tricyc,robot-tricyc,"robot-tricyc:Marker1","robot-tricyc:Marker1","robot-tricyc:Marker1","robot-tricyc:Marker1","robot-tricyc:Marker2","robot-tricyc:Marker2","robot-tricyc:Marker2","robot-tricyc:Marker2","robot-tricyc:Marker3","robot-tricyc:Marker3","robot-tricyc:Marker3","robot-tricyc:Marker3","robot-tricyc:Marker4","robot-tricyc:Marker4","robot-tricyc:Marker4","robot-tricyc:Marker4",robot-tricyc:Marker1,robot-tricyc:Marker1,robot-tricyc:Marker1,robot-tricyc:Marker2,robot-tricyc:Marker2,robot-tricyc:Marker2,robot-tricyc:Marker3,robot-tricyc:Marker3,robot-tricyc:Marker3,robot-tricyc:Marker4,robot-tricyc:Marker4,robot-tricyc:Marker4
,ID,"24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","D8370","D8370","D8370","D8330","D8330","D8330","D83C0","D83C0","D83C0","D8360","D8360","D8360"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,0.320000,179.688538,0.482409,2.908435,1.038538,0.096764,1.297228,0.000545,1.062823,0.096843,1.229142,0.822730,0.978512,0.097551,1.364120,0.733481,0.982121,0.098268,1.227482,0.832619,1.130696,0.094395,1.368168,0.753599,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
33,0.330000,179.693207,0.512802,2.894590,1.038522,0.096777,1.297239,0.000522,1.062802,0.096825,1.229151,0.820296,0.978502,0.097584,1.364135,0.717332,0.982099,0.098230,1.227497,0.829336,1.130687,0.094467,1.368172,0.752056,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131548,0.094932,1.367897
34,0.340000,179.697205,0.495529,2.919795,1.038518,0.096753,1.297228,0.000519,1.062793,0.096812,1.229139,0.820964,0.978502,0.097567,1.364129,0.717421,0.982091,0.098253,1.227491,0.826516,1.130686,0.094382,1.368155,0.749490,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
35,0.350000,179.696259,0.482964,2.908207,1.038549,0.096767,1.297234,0.000531,1.062825,0.096845,1.229144,0.820366,0.978532,0.097553,1.364134,0.725580,0.982123,0.098270,1.227496,0.830513,1.130717,0.094398,1.368161,0.757326,1.063020,0.096204,1.229404,0.977547,0.097114,1.363932,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
36,0.360000,179.697205,0.495529,2.919795,1.038518,0.096753,1.297228,0.000519,1.062793,0.096812,1.229139,0.820366,0.978502,0.097567,1.364129,0.725580,0.982091,0.098253,1.227491,0.830513,1.130686,0.094382,1.368155,0.757326,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
37,0.370000,179.688538,0.482409,2.908435,1.038538,0.096764,1.297228,0.000545,1.062823,0.096843,1.229142,0.820964,0.978512,0.097551,1.364120,0.717421,0.982121,0.098268,1.227482,0.826516,1.130696,0.094395,1.368168,0.749490,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
38,0.380000,179.682938,0.495997,2.887008,1.038538,0.096784,1.297237,0.000543,1.062829,0.096856,1.229153,0.819037,0.978505,0.097564,1.364123,0.717366,0.982127,0.098250,1.227485,0.825060,1.130690,0.094465,1.368186,0.751281,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094914,1.367893
39,0.390000,179.685120,0.485474,2.913562,1.038522,0.096758,1.297251,0.000531,1.062812,0.096831,1.229166,0.815661,0.978493,0.097553,1.364139,0.720437,0.982110,0.098263,1.227501,0.829562,1.130676,0.094384,1.368196,0.744381,1.062976,0.096187,1.229485,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
40,0.400000,179.704910,0.496039,2.919491,1.038530,0.096755,1.297235,0.000506,1.062795,0.096814,1.229142,0.815661,0.978523,0.097569,1.364143,0.720437,0.982093,0.098254,1.227505,0.829562,1.130708,0.094385,1.368149,0.744381,1.062943,0.096164,1.229404,0.977547,0.097114,1.363932,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
41,0.410000,179.697220,0.495531,2.919795,1.038518,0.096753,1.297228,0.000519,1.062793,0.096812,1.229139,0.821026,0.978502,0.097567,1.364129,0.725642,0.982090,0.098253,1.227491,0.827673,1.130686,0.094382,1.368155,0.754753,1.062943,0.096164,1.229403,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
