,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,CD4C0,CD4C0,CD4C0,CCA50,CCA50,CCA50,CD0F0,CD0F0,CD0F0
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
20,0.2,-40.962204,0.992936,0.998233,-0.125992,0.096173,-1.230737,0.001024,-0.221677,0.094356,-1.207243,0.795232,-0.0778,0.096503,-1.206596,0.814954,-0.078498,0.097661,-1.278373,0.876784,-0.222504,0.094338,-1.206894,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
21,0.21,-40.990353,0.906715,1.777409,-0.12565,0.096157,-1.230929,0.001018,-0.221332,0.093688,-1.207482,0.801243,-0.077482,0.097177,-1.20676,0.814053,-0.078136,0.097607,-1.278545,0.882637,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.077854,0.097612,-1.278171
22,0.22,-41.001587,0.940536,1.747907,-0.125625,0.096176,-1.230926,0.001043,-0.221311,0.093689,-1.207499,0.795232,-0.077461,0.097177,-1.206747,0.814954,-0.078102,0.097663,-1.278533,0.876784,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.077783,0.097669,-1.278157
23,0.23,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.795232,-0.077733,0.096505,-1.206635,0.814954,-0.0783,0.097662,-1.278413,0.876784,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
24,0.24,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.85884,-0.077733,0.096505,-1.206635,0.882942,-0.0783,0.097662,-1.278413,0.855645,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
25,0.25,-41.067539,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.85884,-0.077733,0.096505,-1.206635,0.882942,-0.0783,0.097662,-1.278413,0.855645,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
26,0.26,-41.21283,1.562607,0.258821,-0.125998,0.095564,-1.230656,0.000374,-0.221784,0.09368,-1.207582,0.895621,-0.077905,0.095353,-1.206317,0.941209,-0.078305,0.097659,-1.278068,0.867533,-0.222111,0.093668,-1.207322,-0.078085,0.095356,-1.206468,-0.077783,0.097669,-1.278157
27,0.27,-41.021862,1.074202,0.981852,-0.12598,0.096168,-1.230779,0.001036,-0.221688,0.094253,-1.207386,0.77408,-0.077813,0.096502,-1.206587,0.868999,-0.078439,0.09775,-1.278363,0.813913,-0.222523,0.094234,-1.207041,-0.077721,0.096512,-1.207103,-0.07773,0.097757,-1.278136
28,0.28,-41.01152,0.994121,1.7012,-0.125606,0.096206,-1.23092,0.001063,-0.221297,0.093689,-1.207511,0.77408,-0.077447,0.097176,-1.206732,0.868999,-0.078076,0.097752,-1.278517,0.813913,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.07773,0.097757,-1.278136
29,0.29,-41.335228,1.707269,-0.097682,-0.12624,0.095416,-1.230562,0.000576,-0.222076,0.093682,-1.207687,0.791005,-0.078196,0.094914,-1.206131,0.814228,-0.078447,0.097651,-1.277868,0.871305,-0.222111,0.093668,-1.207322,-0.078798,0.09491,-1.206187,-0.077783,0.097669,-1.278157
