,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4
,ID,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,C5290,C5290,C5290,C53E0,C53E0,C53E0,B01F0F9344C411EB9535D8E10FC4DB80,B01F0F9344C411EB9535D8E10FC4DB80,B01F0F9344C411EB9535D8E10FC4DB80,C5210,C5210,C5210
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.18,-23.072729,-0.662357,0.658175,0.955888,0.070039,0.786227,0.00129,1.032076,0.068985,0.71186,0.821548,1.029139,0.070167,0.862059,0.51696,0.946996,0.07062,0.859199,0.000001,0.815342,0.070385,0.711788,0.73064,1.032907,0.069224,0.71171,1.02993,0.069245,0.86118,0.944908,0.072039,0.860696,0.815328,0.070127,0.711724
19,0.19,-22.897871,-0.677108,-0.588541,0.956575,0.071197,0.785964,0.000504,1.032524,0.069226,0.711372,0.890034,1.030019,0.069222,0.861584,0.884298,0.947894,0.071351,0.858964,0,0.815862,0.074987,0.711936,0.958635,1.032825,0.069218,0.711693,1.029852,0.069227,0.861152,,,,0.815738,0.07499,0.712045
20,0.2,-23.073006,-0.674047,0.662445,0.955911,0.070017,0.786239,0.001297,1.032099,0.068946,0.711873,0.890034,1.029162,0.070161,0.862072,0.884298,0.947018,0.070614,0.859212,0,0.815365,0.070349,0.7118,0.958635,1.032952,0.069184,0.711738,1.02993,0.069245,0.86118,0.944908,0.072039,0.860696,0.81536,0.07009,0.711749
21,0.21,-22.899122,-0.697201,-0.588367,0.95662,0.0712,0.785994,0.000516,1.032571,0.069195,0.711404,0.879044,1.030063,0.069241,0.861616,0.886067,0.947938,0.07138,0.858994,0,0.81591,0.074985,0.711962,0.952223,1.032893,0.069187,0.711765,1.02993,0.069245,0.86118,,,,0.815738,0.07499,0.712045
22,0.22,-23.092007,-0.375793,-0.612976,0.956247,0.070901,0.786077,0.000707,1.032452,0.06943,0.711734,0.879044,1.029438,0.06867,0.861935,0.886067,0.947319,0.070676,0.859047,0,0.81578,0.07483,0.711591,0.952223,1.032925,0.069171,0.711826,1.029745,0.069429,0.861269,0.946373,0.069879,0.859353,0.815884,0.075078,0.711844
23,0.23,-23.058319,-0.605941,0.634496,0.955945,0.06999,0.786158,0.001333,1.032114,0.069015,0.711771,0.777397,1.029215,0.070037,0.861972,0.607472,0.94707,0.070493,0.859133,0.229182,0.81538,0.070415,0.711754,0.929579,1.032957,0.069266,0.711631,1.030032,0.069049,0.861067,0.944908,0.072039,0.860696,0.815364,0.070144,0.711679
24,0.24,-23.007141,-1.476939,1.23338,0.955982,0.071393,0.785945,0.001481,1.032077,0.069352,0.711504,0.777397,1.029331,0.073079,0.861665,0.607472,0.947183,0.073182,0.858909,0.229182,0.815339,0.069958,0.711703,0.929579,1.032849,0.069103,0.711704,1.030331,0.073975,0.860084,0.944908,0.072039,0.860696,0.815416,0.070137,0.711653
25,0.25,-23.066145,-0.627723,0.63945,0.955934,0.069981,0.786188,0.00132,1.032113,0.068972,0.711812,0.790269,1.029193,0.070052,0.862012,0.596544,0.94705,0.070512,0.859162,0.238937,0.815379,0.070387,0.711765,0.931331,1.032907,0.069224,0.71171,1.030032,0.069049,0.861067,0.944908,0.072039,0.860696,0.815381,0.070121,0.711697
26,0.26,-22.630846,-0.80217,-0.142817,0.955347,0.070766,0.786614,0.001695,1.030952,0.068899,0.711671,0.522965,1.02916,0.069637,0.861891,0.665936,0.947011,0.071234,0.859653,0.379629,0.814263,0.073294,0.713241,0.845533,1.032849,0.069103,0.711704,1.030032,0.069049,0.861067,0.944908,0.072039,0.860696,0.813674,0.07311,0.713213
27,0.27,-22.939762,-0.713012,-0.664056,0.956617,0.071319,0.785889,0.000453,1.032619,0.069232,0.711354,0.522965,1.030002,0.069242,0.861564,0.665936,0.947882,0.071491,0.858882,0.379629,0.815966,0.075309,0.711756,0.845533,1.032907,0.069224,0.71171,1.02993,0.069245,0.86118,,,,0.815772,0.075315,0.711798
