980.45,96,44
980.5,95,44
980.55,93,41
980.6,97,42
980.65,98,44
980.7,99,44
980.75,100,43
980.8,99,43
980.85,98,44
980.9,101,44
980.95,98,41
981,96,42
981.05,100,44
981.1,99,45
981.15,95,42
981.2,96,41
981.25,96,42
981.3,98,43
981.35,98,44
981.4,98,44
981.45,97,44
981.5,96,43
981.55,97,43
981.6,94,41
981.65,93,41
981.7,95,43
981.75,98,45
981.8,98,43
981.85,96,44
981.9,93,43
981.95,92,41
982,95,43
982.05,100,43
982.1,99,45
982.15,99,43
982.2,100,44
982.25,99,43
982.3,99,43
982.35,99,42
982.4,98,42
982.45,99,42
982.5,98,43
982.55,96,43
982.6,95,46
982.65,92,50
982.7,91,50
982.75,90,50
982.8,89,51
982.85,85,52
982.9,86,53
982.95,87,55
983,83,56
983.05,83,58
983.1,79,60
983.15,75,62
983.2,74,63
983.25,73,65
983.3,73,64
983.35,75,66
983.4,75,66
983.45,74,67
983.5,73,66
983.55,73,65
983.6,73,64
983.65,76,65
983.7,76,68
983.75,72,67
983.8,72,70
983.85,71,70
983.9,72,70
983.95,71,72
984,72,71
984.05,73,72
984.1,69,70
984.15,70,68
984.2,70,69
984.25,73,72
984.3,71,71
984.35,70,70
984.4,69,70
984.45,69,71
984.5,68,70
984.55,69,71
984.6,71,71
984.65,73,72
984.7,70,69
984.75,68,68
984.8,69,69
984.85,72,70
984.9,72,70
984.95,70,70
985,67,70
985.05,68,69
985.1,68,70
985.15,67,71
985.2,71,72
985.25,71,70
985.3,69,70
985.35,68,67
985.4,68,70
985.45,69,70
985.5,68,69
985.55,66,70
985.6,70,71
985.65,74,72
985.7,71,70
985.75,69,70
985.8,72,69
985.85,73,71
985.9,73,72
985.95,71,71
986,72,69
986.05,71,69
986.1,70,69
986.15,69,67
986.2,70,71
986.25,74,71
986.3,70,71
986.35,70,69
986.4,70,70
986.45,73,71
986.5,68,70
986.55,68,70
986.6,70,70
986.65,71,70
986.7,70,70
986.75,69,69
986.8,68,69
986.85,72,71
986.9,71,70
986.95,68,70
987,68,70
987.05,69,70
987.1,67,68
987.15,67,69
987.2,70,71
987.25,70,71
987.3,70,70
987.35,70,70
987.4,70,71
987.45,70,71
987.5,66,69
987.55,65,69
987.6,70,70
987.65,72,71
987.7,73,72
987.75,70,70
987.8,71,70
987.85,71,68
987.9,72,69
987.95,70,70
988,72,70
988.05,74,72
988.1,71,69
988.15,70,69
988.2,70,69
988.25,72,71
988.3,72,70
988.35,73,67
988.4,74,66
988.45,75,66
988.5,74,64
988.55,73,64
988.6,76,65
988.65,77,64
988.7,75,65
988.75,75,65
988.8,75,65
988.85,75,64
988.9,75,66
988.95,75,64
989,73,64
989.05,72,65
989.1,73,64
989.15,74,65
989.2,74,65
989.25,75,65
989.3,73,65
989.35,73,64
989.4,73,65
989.45,74,66
989.5,74,66
989.55,77,68
989.6,77,65
989.65,76,64
989.7,78,63
989.75,81,62
989.8,82,59
989.85,83,60
989.9,83,59
989.95,84,59
990,82,59
990.05,83,58
990.1,83,59
990.15,81,58
990.2,81,58
990.25,80,59
990.3,82,60
990.35,80,58
990.4,82,57
990.45,81,60
990.5,80,60
990.55,82,59
990.6,82,58
990.65,81,59
990.7,82,60
990.75,79,59
990.8,77,58
990.85,77,59
990.9,81,58
990.95,81,59
991,80,61
991.05,80,60
991.1,81,59
991.15,78,59
991.2,78,57
991.25,79,58
991.3,83,60
991.35,83,60
991.4,84,59
991.45,82,59
991.5,82,60
991.55,84,60
991.6,82,59
991.65,82,59
991.7,81,57
991.75,82,59
991.8,83,59
991.85,82,60
991.9,81,61
991.95,80,57
992,82,58
992.05,80,58
992.1,82,60
992.15,82,59
992.2,81,59
992.25,79,59
992.3,80,60
992.35,82,59
992.4,81,58
992.45,81,59
992.5,79,59
992.55,78,59
992.6,79,58
992.65,82,59
992.7,82,60
992.75,80,57
992.8,78,58
992.85,81,60
992.9,80,59
992.95,78,60
993,80,59
993.05,84,60
993.1,81,62
993.15,82,60
993.2,82,59
993.25,84,58
993.3,83,58
993.35,83,58
993.4,83,60
993.45,82,59
993.5,81,58
993.55,84,58
993.6,83,58
993.65,80,60
993.7,80,59
993.75,80,58
993.8,80,60
993.85,82,60
993.9,83,59
993.95,79,60
994,81,58
994.05,80,58
994.1,80,58
994.15,81,59
994.2,80,58
994.25,79,60
994.3,79,60
994.35,80,60
994.4,81,58
994.45,79,58
994.5,80,60
994.55,81,58
994.6,79,59
994.65,79,60
994.7,79,58
994.75,80,58
994.8,82,59
994.85,82,61
994.9,83,60
994.95,84,59
995,84,59
995.05,83,59
995.1,81,56
995.15,81,58
995.2,82,60
995.25,84,60
995.3,84,59
995.35,82,58
995.4,80,58
995.45,81,58
995.5,79,59
995.55,79,59
995.6,82,60
995.65,82,58
995.7,80,59
995.75,80,60
995.8,82,60
995.85,82,59
995.9,81,59
995.95,78,58
996,76,58
996.05,78,58
996.1,82,59
996.15,82,60
996.2,81,58
996.25,80,60
996.3,80,58
996.35,76,59
996.4,76,58
996.45,79,59
996.5,85,59
996.55,83,61
996.6,83,60
996.65,82,60
996.7,83,59
996.75,83,60
996.8,84,59
996.85,83,59
996.9,80,56
996.95,80,59
997,84,58
997.05,83,60
997.1,81,60
997.15,80,59
997.2,81,59
997.25,79,60
997.3,81,59
997.35,83,60
997.4,82,58
997.45,81,58
997.5,81,57
997.55,80,58
997.6,80,61
997.65,82,59
997.7,79,59
997.75,78,58
997.8,78,58
997.85,79,60
997.9,81,62
997.95,81,60
998,81,60
998.05,80,59
998.1,78,57
998.15,78,58
998.2,81,58
998.25,84,60
998.3,84,60
998.35,83,60
998.4,82,59
998.45,83,60
998.5,83,57
998.55,82,58
998.6,83,59
998.65,82,61
998.7,83,59
998.75,82,60
998.8,82,60
998.85,80,57
998.9,79,57
998.95,81,58
999,81,60
999.05,82,60
999.1,82,60
999.15,80,59
999.2,81,59
999.25,83,59
999.3,82,59
999.35,80,59
999.4,78,58
999.45,76,56
999.5,79,58
999.55,81,60
999.6,82,61
999.65,81,62
999.7,82,60
999.75,80,59
999.8,77,57
999.85,75,55
999.9,77,57
999.95,84,62
1000,85,62
1000.05,83,61
1000.1,84,60
1000.15,82,58
1000.2,83,58
1000.25,82,59
1000.3,83,60
1000.35,82,59
1000.4,82,58
1000.45,82,58
1000.5,81,60
1000.55,81,60
1000.6,81,59
1000.65,82,58
1000.7,80,59
1000.75,82,60
1000.8,81,59
1000.85,80,58
1000.9,79,59
1000.95,82,58
1001,83,59
1001.05,83,59
1001.1,80,58
1001.15,77,59
1001.2,75,58
1001.25,78,57
1001.3,81,59
1001.35,82,61
1001.4,81,61
1001.45,82,59
1001.5,80,59
1001.55,78,57
1001.6,77,59
1001.65,80,59
1001.7,84,60
1001.75,82,59
1001.8,83,60
1001.85,83,59
1001.9,83,59
1001.95,83,60
1002,82,60
1002.05,82,58
1002.1,80,58
1002.15,82,58
1002.2,84,59
1002.25,83,59
1002.3,81,58
1002.35,80,59
1002.4,81,57
1002.45,80,59
1002.5,82,60
1002.55,82,60
1002.6,80,60
1002.65,81,60
1002.7,80,58
1002.75,81,58
1002.8,80,58
1002.85,79,59
1002.9,79,59
1002.95,78,59
1003,80,58
1003.05,82,58
1003.1,81,58
1003.15,79,60
