,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,"robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5",robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker5,robotdiff_CENT...:Marker5,robotdiff_CENT...:Marker5
,ID,"BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","C42B0","C42B0","C42B0","C4830","C4830","C4830","C4970","C4970","C4970","C49C0","C49C0","C49C0","C4A20","C4A20","C4A20"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,0.240000,-0.072522,0.155330,0.033030,-0.125123,0.083781,-0.400672,0.000583,-0.218869,0.057685,-0.388713,0.882234,-0.185186,0.101298,-0.426563,0.965098,-0.180869,0.100985,-0.354086,0.980348,-0.000972,0.057330,-0.399727,0.714354,-0.039718,0.101606,-0.434274,0.846771,-0.218421,0.057541,-0.388696,-0.185267,0.101387,-0.426492,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039217,0.101742,-0.434599
25,0.250000,-0.052558,-0.101586,0.004299,-0.125170,0.083674,-0.400652,0.000532,-0.218925,0.057680,-0.388543,0.876532,-0.185233,0.101105,-0.426600,0.976704,-0.180891,0.101115,-0.354124,0.953775,-0.001032,0.057165,-0.399631,0.733028,-0.039768,0.101305,-0.434363,0.946089,-0.218433,0.057642,-0.388571,-0.185174,0.101159,-0.426648,-0.180744,0.101023,-0.354058,-0.002075,0.057283,-0.399430,-0.039611,0.101283,-0.434510
26,0.260000,-0.088114,-0.064341,0.006961,-0.125135,0.083641,-0.400697,0.000525,-0.218897,0.057635,-0.388662,0.876532,-0.185184,0.101086,-0.426670,0.976704,-0.180886,0.101049,-0.354191,0.953775,-0.000997,0.057137,-0.399616,0.733028,-0.039713,0.101298,-0.434343,0.946089,-0.218432,0.057548,-0.388700,-0.185052,0.101164,-0.426741,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
27,0.270000,-0.070012,-0.087028,-0.028770,-0.125195,0.083664,-0.400703,0.000466,-0.218969,0.057721,-0.388629,0.881378,-0.185241,0.101137,-0.426665,0.957986,-0.180920,0.101126,-0.354187,0.952377,-0.001073,0.057084,-0.399651,0.724284,-0.039773,0.101254,-0.434383,0.953675,-0.218705,0.057705,-0.388657,-0.185075,0.101167,-0.426710,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
28,0.280000,-0.104131,-0.013418,0.014016,-0.125173,0.083616,-0.400702,0.000476,-0.218934,0.057588,-0.388717,0.933468,-0.185216,0.101077,-0.426677,0.956397,-0.180938,0.100976,-0.354197,0.937588,-0.001032,0.057127,-0.399610,0.738871,-0.039743,0.101314,-0.434309,0.931901,-0.218705,0.057705,-0.388657,-0.185108,0.101135,-0.426709,-0.180611,0.100635,-0.354288,-0.001960,0.057385,-0.399289,-0.039642,0.101261,-0.434501
29,0.290000,-0.094045,-0.040677,-0.017675,-0.125203,0.083663,-0.400681,0.000501,-0.218977,0.057692,-0.388668,0.933875,-0.185241,0.101144,-0.426654,0.968413,-0.180951,0.101076,-0.354175,0.879531,-0.001077,0.057105,-0.399598,0.746016,-0.039770,0.101297,-0.434311,0.943998,-0.218608,0.057683,-0.388698,-0.185075,0.101167,-0.426710,-0.180850,0.100962,-0.354050,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
30,0.300000,-0.101306,0.034224,0.039154,-0.125104,0.083776,-0.400699,0.000577,-0.218854,0.057696,-0.388731,0.907416,-0.185156,0.101232,-0.426656,0.955826,-0.180876,0.101073,-0.354176,0.950939,-0.000952,0.057340,-0.399635,0.743078,-0.039685,0.101539,-0.434295,0.938604,-0.218580,0.057668,-0.388713,-0.185108,0.101135,-0.426709,-0.180744,0.101023,-0.354058,-0.002075,0.057283,-0.399430,-0.039204,0.101758,-0.434545
31,0.310000,-0.074333,0.050838,0.017489,-0.125140,0.083561,-0.400724,0.000566,-0.218894,0.057513,-0.388719,0.930994,-0.185198,0.101047,-0.426648,0.970015,-0.180883,0.100865,-0.354170,0.954159,-0.000997,0.057078,-0.399726,0.714279,-0.039729,0.101301,-0.434355,0.853871,-0.218424,0.057533,-0.388623,-0.185144,0.101186,-0.426664,-0.180685,0.100600,-0.354302,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
32,0.320000,-0.058042,-0.117044,-0.008794,-0.125158,0.083663,-0.400667,0.000508,-0.218920,0.057693,-0.388560,0.880103,-0.185215,0.101100,-0.426625,0.962555,-0.180879,0.101129,-0.354149,0.911041,-0.001026,0.057126,-0.399627,0.715896,-0.039748,0.101265,-0.434374,0.940404,-0.218532,0.057666,-0.388528,-0.185075,0.101167,-0.426710,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
33,0.330000,-0.072476,-0.089993,0.034122,-0.125175,0.083623,-0.400661,0.000511,-0.218921,0.057578,-0.388589,0.902439,-0.185239,0.101028,-0.426626,0.955904,-0.180921,0.101026,-0.354148,0.947678,-0.001024,0.057179,-0.399602,0.730465,-0.039771,0.101305,-0.434338,0.942195,-0.218483,0.057433,-0.388608,-0.185047,0.101133,-0.426696,-0.180859,0.101001,-0.354018,-0.002075,0.057283,-0.399430,-0.039614,0.101283,-0.434512
