,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,C3F00,C3F00,C3F00,C3F30,C3F30,C3F30,C3F10,C3F10,C3F10
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
21,0.21,2.231152,-0.190601,0.741706,-0.563783,0.096908,0.539281,0.000256,-0.466934,0.098036,0.512696,0.966293,-0.611323,0.096957,0.592222,0.936822,-0.613093,0.095732,0.512924,0.929193,-0.466814,0.098037,0.512636,-0.611447,0.096951,0.592002,-0.613096,0.095736,0.513207
22,0.22,2.214398,-0.155672,0.766647,-0.563837,0.096851,0.53927,0.000321,-0.466981,0.098036,0.512715,0.953899,-0.611392,0.096847,0.592198,0.926737,-0.613138,0.095671,0.512898,0.918241,-0.466814,0.098037,0.512636,-0.611553,0.096841,0.591953,-0.613152,0.095675,0.513225
23,0.23,2.24861,-0.232382,0.785108,-0.563829,0.096892,0.539246,0.000244,-0.466989,0.098077,0.512631,0.967325,-0.611353,0.09694,0.592202,0.940344,-0.613146,0.095659,0.512906,0.933143,-0.466873,0.098078,0.512572,-0.611472,0.096935,0.591996,-0.613148,0.095663,0.513173
24,0.24,2.241607,-0.011871,0.720371,-0.563916,0.097002,0.539277,0.0003,-0.467071,0.098165,0.512679,0.963366,-0.611446,0.09691,0.592227,0.926966,-0.613231,0.095932,0.512926,0.915629,-0.46693,0.098167,0.51264,-0.611522,0.096906,0.591945,-0.613306,0.095935,0.513255
25,0.25,2.215898,-0.001106,0.683536,-0.563902,0.096931,0.539288,0.00039,-0.467044,0.098035,0.512733,0.937468,-0.611456,0.096861,0.592217,0.921936,-0.613205,0.095897,0.512914,0.913162,-0.466814,0.098037,0.512636,-0.611651,0.096855,0.591973,-0.613251,0.0959,0.513259
26,0.26,2.205739,-0.164405,0.7712,-0.563836,0.096847,0.539253,0.000303,-0.466976,0.098036,0.512712,0.937468,-0.611399,0.096847,0.592174,0.921936,-0.613133,0.095659,0.512874,0.913162,-0.466814,0.098037,0.512636,-0.611553,0.096841,0.591953,-0.613148,0.095663,0.513173
27,0.27,2.217629,-0.102889,0.74026,-0.563819,0.096876,0.539282,0.000316,-0.466963,0.098036,0.512722,0.955271,-0.611371,0.096847,0.592213,0.93273,-0.613122,0.095744,0.512912,0.925184,-0.466814,0.098037,0.512636,-0.611553,0.096841,0.591953,-0.6131,0.095749,0.51326
28,0.28,2.231511,-0.22811,0.766579,-0.563813,0.09688,0.539282,0.000289,-0.466965,0.098036,0.512696,0.956774,-0.611352,0.096941,0.592223,0.920738,-0.613122,0.095664,0.512926,0.912803,-0.466814,0.098037,0.512636,-0.611472,0.096935,0.591996,-0.61316,0.095668,0.513217
29,0.29,2.194159,-0.175568,0.77098,-0.563868,0.096852,0.539261,0.000328,-0.467002,0.098036,0.512739,0.959398,-0.611442,0.096861,0.592171,0.935715,-0.61316,0.095658,0.512872,0.926602,-0.466814,0.098037,0.512636,-0.611651,0.096855,0.591973,-0.613148,0.095663,0.513173
30,0.3,2.252733,-0.127248,0.751599,-0.563929,0.096973,0.539258,0.000273,-0.46709,0.098143,0.512639,0.94631,-0.611449,0.096956,0.592218,0.92792,-0.613248,0.095819,0.512919,0.924639,-0.46694,0.098144,0.51258,-0.611566,0.096952,0.592017,-0.613287,0.095822,0.513181
