Format Version,1.23,Take Name,robotatfactory_08-09-2020_CENTRE,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-09-08 11.01.57.638 ,Total Frames in Take,3133,Total Exported Frames,3133,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,0.057765,-0.302333,-0.097556,-0.159012,0.081988,0.354900,0.000455,-0.324530,0.039568,0.283154,0.862003,-0.194604,0.126760,0.470237,0.931019,-0.011588,0.039423,0.378954,0.809242,-0.231533,0.124794,0.373235,0.964424,-0.083889,0.039131,0.188600,0.262578,-0.116579,0.121863,0.254884,0.555581,-0.056692,0.125425,0.418072,0.920911,-0.252678,0.038936,0.472061,0.864413,-0.324306,0.039977,0.282859,-0.194695,0.126506,0.470292,-0.011202,0.040039,0.378723,-0.231431,0.124890,0.373263,-0.085206,0.036494,0.188474,-0.116203,0.123331,0.255812,-0.056667,0.125675,0.418265,-0.252644,0.038601,0.471637
17,0.170000,0.069312,-0.307998,-0.110823,-0.159015,0.081985,0.354923,0.000457,-0.324557,0.039597,0.283214,0.866097,-0.194573,0.126778,0.470263,0.925127,-0.011596,0.039389,0.378951,0.814197,-0.231523,0.124811,0.373268,0.946009,-0.083935,0.039095,0.188612,0.275628,-0.116593,0.121841,0.254895,0.563054,-0.056673,0.125406,0.418070,0.916939,-0.252668,0.038968,0.472107,0.850727,-0.324338,0.040045,0.283019,-0.194695,0.126506,0.470292,-0.011351,0.040055,0.378730,-0.231320,0.124856,0.373328,-0.085206,0.036494,0.188474,-0.116119,0.123291,0.255748,-0.056667,0.125675,0.418265,-0.252644,0.038601,0.471637
18,0.180000,0.046517,-0.292837,-0.099775,-0.159027,0.081972,0.354877,0.000443,-0.324532,0.039570,0.283092,0.858513,-0.194640,0.126727,0.470215,0.901982,-0.011609,0.039397,0.378953,0.814792,-0.231550,0.124778,0.373205,0.948665,-0.083873,0.039139,0.188585,0.258958,-0.116573,0.121862,0.254877,0.554764,-0.056718,0.125395,0.418077,0.909577,-0.252718,0.038905,0.472013,0.877547,-0.324283,0.039972,0.282781,-0.194676,0.126340,0.470267,-0.011351,0.040055,0.378730,-0.231430,0.124935,0.373148,-0.085206,0.036494,0.188474,-0.116202,0.123331,0.255812,-0.056684,0.125665,0.418316,-0.252644,0.038601,0.471637
19,0.190000,-0.034964,-0.099203,0.002780,-0.158706,0.082266,0.354869,0.000457,-0.324034,0.039812,0.282706,0.911958,-0.194562,0.126567,0.470307,0.952275,-0.011247,0.039874,0.379010,0.909609,-0.231332,0.124881,0.373239,0.986120,-0.083241,0.040131,0.188540,0.653565,-0.116183,0.122570,0.255064,0.768747,-0.056565,0.125658,0.418361,0.960239,-0.252485,0.038636,0.471726,0.953698,-0.324316,0.039841,0.282914,-0.194698,0.126655,0.470408,-0.011107,0.040000,0.378701,-0.231307,0.124883,0.373288,-0.082669,0.039117,0.187788,-0.116042,0.123198,0.255728,-0.056721,0.125668,0.418391,-0.252644,0.038601,0.471637
20,0.200000,-0.032273,-0.104412,-0.019077,-0.158743,0.082191,0.354830,0.000407,-0.324090,0.039793,0.282678,0.929348,-0.194576,0.126516,0.470265,0.956940,-0.011299,0.039745,0.378968,0.901457,-0.231351,0.124835,0.373199,0.969582,-0.083301,0.040012,0.188501,0.649530,-0.116209,0.122469,0.255019,0.779763,-0.056582,0.125550,0.418312,0.961622,-0.252533,0.038607,0.471695,0.968754,-0.324283,0.039972,0.282781,-0.194625,0.126364,0.470328,-0.011351,0.040055,0.378730,-0.231334,0.124780,0.373306,-0.082882,0.038871,0.187802,-0.116024,0.123035,0.255669,-0.056684,0.125665,0.418316,-0.252644,0.038601,0.471637
21,0.210000,-0.050226,-0.081122,-0.005064,-0.158655,0.082187,0.354829,0.000435,-0.323969,0.039779,0.282609,0.898291,-0.194536,0.126457,0.470272,0.922904,-0.011208,0.039768,0.378997,0.902767,-0.231280,0.124806,0.373193,0.950884,-0.083151,0.040094,0.188507,0.664780,-0.116100,0.122517,0.255049,0.778561,-0.056525,0.125545,0.418362,0.971040,-0.252471,0.038533,0.471648,0.953683,-0.324283,0.039972,0.282781,-0.194792,0.126291,0.470314,-0.011107,0.040000,0.378701,-0.231269,0.124641,0.373299,-0.082600,0.039020,0.187924,-0.115927,0.123173,0.255618,-0.056505,0.125645,0.418306,-0.252644,0.038601,0.471637
22,0.220000,-0.016723,-0.135820,-0.045225,-0.158715,0.082159,0.354758,0.000366,-0.324101,0.039798,0.282674,0.860504,-0.194497,0.126564,0.470178,0.939532,-0.011284,0.039659,0.378879,0.895245,-0.231299,0.124847,0.373123,0.959380,-0.083338,0.039854,0.188431,0.658555,-0.116189,0.122363,0.254914,0.868749,-0.056517,0.125506,0.418189,0.971094,-0.252494,0.038682,0.471672,0.956364,-0.324430,0.040158,0.282945,-0.194605,0.126373,0.470280,-0.011202,0.040039,0.378723,-0.231391,0.124749,0.373215,-0.082775,0.038744,0.187870,-0.115999,0.122841,0.255018,-0.056563,0.125569,0.418275,-0.252644,0.038601,0.471637
23,0.230000,-0.033764,-0.157018,-0.022266,-0.158751,0.082169,0.354753,0.000353,-0.324098,0.039715,0.282637,0.899610,-0.194585,0.126602,0.470147,0.935115,-0.011310,0.039737,0.378934,0.909297,-0.231358,0.124834,0.373081,0.959949,-0.083308,0.039833,0.188465,0.662372,-0.116212,0.122353,0.254907,0.864019,-0.056589,0.125580,0.418199,0.959376,-0.252547,0.038698,0.471656,0.965316,-0.324306,0.039977,0.282859,-0.194749,0.126500,0.470320,-0.011256,0.040015,0.378708,-0.231456,0.124832,0.373208,-0.082775,0.038744,0.187870,-0.115999,0.122841,0.255018,-0.056703,0.125640,0.418299,-0.252644,0.038601,0.471637
24,0.240000,-0.041603,-0.069718,-0.044103,-0.158692,0.082217,0.354831,0.000428,-0.324046,0.039935,0.282627,0.878688,-0.194525,0.126488,0.470287,0.943536,-0.011270,0.039692,0.378968,0.890402,-0.231285,0.124882,0.373214,0.963386,-0.083242,0.040105,0.188489,0.654590,-0.116124,0.122537,0.255052,0.779033,-0.056523,0.125493,0.418357,0.974282,-0.252520,0.038603,0.471654,0.968845,-0.324407,0.040154,0.282866,-0.194639,0.126294,0.470270,-0.011107,0.040000,0.378701,-0.231430,0.124894,0.373228,-0.082600,0.039020,0.187924,-0.115954,0.123136,0.255680,-0.056611,0.125482,0.418304,-0.252644,0.038601,0.471637
25,0.250000,0.062395,-0.319986,-0.102806,-0.159042,0.081967,0.354893,0.000441,-0.324569,0.039541,0.283174,0.882248,-0.194620,0.126779,0.470219,0.897370,-0.011620,0.039396,0.378948,0.814028,-0.231558,0.124786,0.373221,0.948805,-0.083937,0.039052,0.188600,0.280381,-0.116614,0.121808,0.254862,0.550772,-0.056714,0.125415,0.418044,0.913960,-0.252703,0.038961,0.472075,0.882006,-0.324316,0.039841,0.282914,-0.194605,0.126373,0.470280,-0.011351,0.040055,0.378730,-0.231431,0.124943,0.373184,-0.085306,0.036525,0.188444,-0.116119,0.123291,0.255748,-0.056667,0.125675,0.418265,-0.252780,0.038696,0.471692
