,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,"robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4",robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker4,robot-omni3:Marker4,robot-omni3:Marker4
,ID,"11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","D49C0","D49C0","D49C0","D55E0","D55E0","D55E0","D5050","D5050","D5050","D1300","D1300","D1300"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.180000,59.927937,0.993104,-0.006130,1.344682,0.784894,-0.833722,0.000463,1.250508,0.787976,-0.889592,0.940730,1.374324,0.784346,-0.797218,0.685567,1.339219,0.784745,-0.751395,0.812826,1.414678,0.782509,-0.896680,0.841518,1.250442,0.787916,-0.889812,1.374283,0.783206,-0.796688,1.339282,0.785473,-0.751231,1.414724,0.782943,-0.897140
19,0.190000,59.840702,1.615855,-1.830924,1.344625,0.783697,-0.833548,0.000407,1.250589,0.787931,-0.889574,0.940730,1.374225,0.783204,-0.797009,0.685567,1.339118,0.785506,-0.751244,0.812826,1.414570,0.778148,-0.896363,0.841518,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
20,0.200000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.925612,1.374315,0.784368,-0.797251,0.918474,1.339223,0.784780,-0.751418,0.950232,1.414640,0.782508,-0.896725,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
21,0.210000,59.840710,1.615855,-1.830924,1.344625,0.783697,-0.833548,0.000407,1.250589,0.787931,-0.889574,0.925612,1.374225,0.783204,-0.797009,0.918474,1.339118,0.785506,-0.751244,0.950232,1.414570,0.778148,-0.896363,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
22,0.220000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.945688,1.374315,0.784368,-0.797251,0.677069,1.339223,0.784780,-0.751418,0.819519,1.414640,0.782508,-0.896725,0.848155,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
23,0.230000,59.840710,1.615855,-1.830924,1.344625,0.783697,-0.833548,0.000407,1.250589,0.787931,-0.889574,0.945688,1.374225,0.783204,-0.797009,0.677069,1.339118,0.785506,-0.751244,0.819519,1.414570,0.778148,-0.896363,0.848155,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
24,0.240000,,,,,,,,,,,,,,,,,,,,,,,,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339282,0.785473,-0.751231,1.414706,0.782915,-0.897183
25,0.250000,59.832207,1.612538,-1.805722,1.344631,0.783703,-0.833499,0.000411,1.250603,0.787931,-0.889539,0.917008,1.374225,0.783205,-0.796956,0.931667,1.339110,0.785482,-0.751195,0.956063,1.414588,0.778194,-0.896305,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339282,0.785473,-0.751231,,,
26,0.260000,59.928497,0.983598,-0.015976,1.344682,0.784906,-0.833757,0.000443,1.250507,0.787969,-0.889627,0.949200,1.374325,0.784368,-0.797254,0.676735,1.339220,0.784776,-0.751430,0.818262,1.414677,0.782511,-0.896716,0.848114,1.250442,0.787916,-0.889812,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
27,0.270000,59.950928,1.005726,-0.020145,1.344659,0.784893,-0.833721,0.000492,1.250463,0.787998,-0.889554,0.938666,1.374315,0.784339,-0.797230,0.685914,1.339229,0.784754,-0.751393,0.815269,1.414628,0.782480,-0.896708,0.837919,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339282,0.785473,-0.751231,1.414706,0.782915,-0.897183
28,0.280000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.938666,1.374315,0.784368,-0.797251,0.685914,1.339223,0.784780,-0.751418,0.815269,1.414640,0.782508,-0.896724,0.837919,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
29,0.290000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.945688,1.374315,0.784368,-0.797251,0.677069,1.339223,0.784780,-0.751418,0.819519,1.414640,0.782508,-0.896724,0.848155,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
30,0.300000,59.928497,0.983598,-0.015976,1.344682,0.784906,-0.833757,0.000443,1.250507,0.787969,-0.889627,0.949200,1.374325,0.784368,-0.797254,0.676735,1.339220,0.784776,-0.751430,0.818262,1.414677,0.782511,-0.896716,0.848114,1.250442,0.787916,-0.889812,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
31,0.310000,59.840710,1.615855,-1.830924,1.344625,0.783697,-0.833548,0.000407,1.250589,0.787931,-0.889574,0.925612,1.374225,0.783204,-0.797009,0.918474,1.339118,0.785506,-0.751244,0.950232,1.414570,0.778148,-0.896363,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
32,0.320000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.925612,1.374315,0.784368,-0.797251,0.918474,1.339223,0.784780,-0.751418,0.950232,1.414640,0.782508,-0.896725,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
33,0.330000,59.840710,1.615855,-1.830924,1.344625,0.783697,-0.833548,0.000407,1.250589,0.787931,-0.889574,0.945688,1.374225,0.783204,-0.797009,0.677069,1.339118,0.785506,-0.751244,0.819519,1.414570,0.778148,-0.896363,0.848155,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
34,0.340000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.945688,1.374315,0.784368,-0.797251,0.677069,1.339223,0.784780,-0.751418,0.819519,1.414640,0.782508,-0.896725,0.848155,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
