4031.52,0,1,2
4049.48,281,-150,56
4049.52,302,-143,58
4049.56,297,-153,66
4049.6,286,-171,90
4049.64,288,-152,66
4049.68,322,-140,63
4049.72,405,-183,76
4049.76,329,-132,47
4049.8,258,-123,37
4049.84,387,-191,48
4049.88,313,-164,57
4049.92,320,-152,36
4049.96,313,-158,49
4050,321,-185,57
4050.04,301,-190,51
4050.08,303,-189,70
4050.12,317,-181,74
4050.16,347,-175,75
4050.2,313,-187,90
4050.24,318,-168,83
4050.28,313,-173,71
4050.32,337,-179,70
4050.36,323,-194,62
4050.4,309,-195,61
4050.44,385,-186,54
4050.48,307,-252,55
4050.52,348,-186,68
4050.56,320,-183,64
4050.6,311,-164,71
4050.64,302,-157,61
4050.68,316,-166,67
4050.72,309,-162,54
4050.76,295,-170,68
4050.8,272,-175,55
4050.84,288,-178,45
4050.88,291,-182,37
4050.92,399,-203,39
4050.96,312,-157,70
4051,286,-160,68
4051.04,305,-160,64
4051.08,307,-147,79
4051.12,327,-141,84
4051.16,328,-149,92
4051.2,294,-190,71
4051.24,302,-181,55
4051.28,320,-181,53
4051.32,339,-153,45
4051.36,398,-177,56
4051.4,289,-211,52
4051.44,297,-167,60
4051.48,300,-164,40
4051.52,325,-166,42
4051.56,301,-177,56
4051.6,301,-164,68
4051.64,310,-149,63
4051.68,337,-160,69
4051.72,318,-159,66
4051.76,309,-171,80
4051.8,302,-174,63
4051.84,319,-170,48
4051.88,314,-188,56
4051.92,303,-183,58
4051.96,290,-195,56
4052,396,-172,58
4052.04,308,-177,69
4052.08,314,-158,130
4052.12,299,-159,85
4052.16,315,-123,62
4052.2,294,-210,72
4052.24,298,-151,83
4052.28,302,-169,85
4052.32,313,-158,86
4052.36,297,-164,102
4052.4,292,-135,132
4052.44,291,-116,145
4052.48,306,-126,152
4052.52,286,-145,124
4052.56,271,-153,110
4052.6,260,-147,89
4052.64,340,-139,75
4052.68,289,-185,90
4052.72,286,-182,68
4052.76,301,-163,75
4052.8,291,-167,87
4052.84,302,-148,73
4052.88,296,-153,61
4052.92,302,-156,86
4052.96,318,-161,88
4053,336,-178,82
4053.04,306,-176,98
4053.08,399,-176,123
4053.12,233,-167,119
4053.16,443,-194,154
4053.2,315,-172,121
4053.24,302,-114,79
4053.28,295,-212,80
4053.32,329,-178,95
4053.36,324,-187,76
4053.4,313,-188,93
4053.44,305,-188,86
4053.48,321,-196,83
4053.52,317,-198,71
4053.56,415,-224,102
4053.6,303,-179,145
4053.64,235,-128,78
4053.68,296,-178,106
4053.72,386,-158,108
4053.76,303,-205,140
4053.8,261,-169,110
4053.84,273,-163,91
4053.88,270,-176,76
4053.92,280,-162,70
4053.96,285,-147,53
4054,292,-160,64
4054.04,271,-160,72
4054.08,279,-140,88
4054.12,289,-147,94
4054.16,384,-153,98
4054.2,315,-232,90
4054.24,283,-195,100
4054.28,218,-127,46
4054.32,370,-155,42
4054.36,321,-206,38
4054.4,315,-183,26
4054.44,304,-177,9
4054.48,296,-159,-1
4054.52,326,-165,0
4054.56,314,-166,-6
4054.6,306,-168,-3
4054.64,308,-173,0
4054.68,314,-175,6
4054.72,293,-180,5
4054.76,303,-182,1
4054.8,310,-178,3
4054.84,341,-180,7
4054.88,315,-172,13
4054.92,323,-166,29
4054.96,417,-157,29
4055,341,-204,45
4055.04,330,-173,66
4055.08,320,-166,66
4055.12,326,-182,67
4055.16,350,-181,71
4055.2,315,-193,82
4055.24,383,-180,86
4055.28,306,-226,123
4055.32,313,-176,104
4055.36,324,-183,115
4055.4,294,-196,144
4055.44,285,-185,138
4055.48,294,-183,118
4055.52,336,-193,124
4055.56,314,-193,116
4055.6,311,-189,133
4055.64,302,-154,118
4055.68,401,-146,123
4055.72,347,-175,120
4055.76,312,-155,136
4055.8,288,-170,113
4055.84,276,-166,99
4055.88,293,-165,101
4055.92,295,-164,102
4055.96,302,-153,103
4056,291,-153,100
4056.04,305,-146,76
4056.08,304,-137,74
4056.12,392,-140,81
4056.16,320,-178,76
4056.2,317,-162,93
4056.24,298,-171,70
4056.28,221,-118,56
4056.32,384,-210,93
4056.36,325,-171,76
4056.4,302,-181,81
4056.44,305,-162,73
4056.48,313,-163,64
4056.52,331,-166,60
4056.56,303,-188,63
4056.6,371,-188,66
4056.64,221,-176,66
4056.68,310,-171,75
4056.72,300,-195,81
4056.76,395,-187,84
4056.8,307,-225,86
4056.84,305,-149,112
4056.88,329,-165,95
4056.92,312,-162,90
4056.96,316,-165,81
4057,324,-174,82
4057.04,288,-169,75
4057.08,293,-163,82
4057.12,305,-163,73
4057.16,335,-146,67
4057.2,302,-164,78
4057.24,372,-175,69
4057.28,217,-114,60
4057.32,378,-214,62
4057.36,248,-136,27
4057.4,369,-169,40
4057.44,280,-218,41
4057.48,283,-177,35
4057.52,312,-170,27
4057.56,311,-170,30
4057.6,295,-163,44
4057.64,284,-155,42
4057.68,310,-161,46
4057.72,304,-173,43
4057.76,316,-157,48
4057.8,389,-207,73
4057.84,318,-161,52
4057.88,304,-169,57
4057.92,308,-161,46
4057.96,310,-153,32
4058,318,-161,55
4058.04,292,-172,54
4058.08,301,-162,54
4058.12,304,-150,55
4058.16,313,-136,66
4058.2,285,-151,78
4058.24,273,-136,89
4058.28,277,-128,96
4058.32,352,-139,111
4058.36,298,-162,136
4058.4,280,-141,104
4058.44,249,-136,105
4058.48,250,-139,98
4058.52,288,-139,99
4058.56,292,-149,116
4058.6,310,-139,114
4058.64,296,-152,121
4058.68,292,-162,117
4058.72,285,-163,97
4058.76,368,-142,95
4058.8,307,-164,87
4058.84,297,-134,123
4058.88,259,-147,101
4058.92,267,-138,99
4058.96,272,-131,84
4059,298,-134,78
4059.04,283,-152,70
4059.08,249,-158,67
4059.12,243,-164,63
4059.16,272,-147,58
