,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,CDAD0,CDAD0,CDAD0,CCE40,CCE40,CCE40,CD000,CD000,CD000
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
20,0.2,-1.027169,-1.162123,0.134145,-0.582241,0.101815,-0.238025,0.001129,-0.628682,0.102503,-0.187895,0.814362,-0.486249,0.101687,-0.265736,0.810345,-0.631793,0.101254,-0.260443,0.978465,-0.627878,0.102501,-0.188188,-0.487344,0.101693,-0.265172,-0.631717,0.101252,-0.260587
21,0.21,-1.044496,-1.074619,-0.054749,-0.582429,0.101746,-0.23792,0.001352,-0.628885,0.102507,-0.187807,0.730714,-0.486427,0.101349,-0.265597,0.625584,-0.631974,0.101383,-0.260357,0.958589,-0.627878,0.102501,-0.188188,-0.487722,0.10136,-0.264846,-0.631971,0.10138,-0.260523
22,0.22,-1.080503,-0.978669,-0.087021,-0.582071,0.101529,-0.238243,0.000448,-0.628559,0.10223,-0.188158,0.970603,-0.486052,0.101127,-0.265859,0.893556,-0.631602,0.10123,-0.260712,0.922285,-0.628668,0.10223,-0.188203,-0.485632,0.101126,-0.265931,-0.63189,0.101232,-0.260595
23,0.23,-0.920443,-0.822872,-0.385498,-0.582281,0.101443,-0.238276,0.000117,-0.62863,0.102243,-0.188063,0.970603,-0.48634,0.100624,-0.266154,0.893556,-0.631873,0.101462,-0.260611,0.922285,-0.628715,0.102243,-0.1881,-0.48626,0.100623,-0.266198,-0.631868,0.101463,-0.26053
24,0.24,-1.179666,-0.873846,0.054065,-0.58256,0.101715,-0.237963,0.000786,-0.629135,0.10221,-0.187956,0.976681,-0.486494,0.101602,-0.265417,0.977153,-0.632052,0.101332,-0.260516,0.979751,-0.628748,0.102209,-0.188112,-0.487267,0.101603,-0.26516,-0.631783,0.101332,-0.260579
25,0.25,-1.037068,-1.105607,0.102032,-0.582233,0.101839,-0.23805,0.001112,-0.628682,0.102503,-0.187929,0.788645,-0.486235,0.101687,-0.265744,0.688059,-0.631781,0.101327,-0.260478,0.952665,-0.627878,0.102501,-0.188188,-0.487344,0.101693,-0.265172,-0.631706,0.101325,-0.260652
26,0.26,-0.792583,-1.011745,-0.386632,-0.582047,0.101537,-0.238325,0.000308,-0.628283,0.102506,-0.188012,0.889484,-0.486169,0.100619,-0.266414,0.94129,-0.631689,0.101487,-0.26055,0.92522,-0.627878,0.102501,-0.188188,-0.48626,0.100623,-0.266198,-0.631986,0.101488,-0.260584
27,0.27,-1.176575,-1.014337,0.125566,-0.582548,0.101667,-0.237993,0.000839,-0.62912,0.102231,-0.187984,0.874485,-0.486484,0.101601,-0.265454,0.79078,-0.632041,0.10117,-0.260542,0.944324,-0.628668,0.10223,-0.188203,-0.487267,0.101603,-0.26516,-0.631822,0.10117,-0.260577
28,0.28,-1.209924,-1.040967,0.102494,-0.582633,0.101737,-0.23797,0.000744,-0.629233,0.102343,-0.187988,0.874485,-0.486552,0.101619,-0.265374,0.79078,-0.632113,0.101249,-0.260547,0.944324,-0.628854,0.102341,-0.18818,-0.487242,0.10162,-0.265132,-0.631888,0.101249,-0.260569
29,0.29,-1.044889,-1.158615,0.111493,-0.582199,0.101867,-0.238072,0.001172,-0.628656,0.102571,-0.187957,0.893758,-0.486198,0.101704,-0.265753,0.817299,-0.631744,0.101327,-0.260506,0.943558,-0.627786,0.102568,-0.188282,-0.487319,0.10171,-0.265143,-0.631706,0.101325,-0.260652
